date,produce,weight
2017-04-04,unavailable,11
2017-06-05,unavailable,60.5
2017-06-12,unavailable,27.5
2017-06-19,unavailable,42
2017-06-26,unavailable,28.5
2017-07-04,unavailable,19
2017-07-10,unavailable,52.75
2017-07-11,unavailable,3.5
2017-07-16,unavailable,4
2017-07-17,unavailable,56.25
2017-07-18,unavailable,2
2017-07-19,unavailable,15
2017-07-24,unavailable,125.5
2017-07-31,unavailable,59.25
2017-08-07,unavailable,66
2017-08-12,unavailable,7
2017-08-14,unavailable,92
2017-08-21,unavailable,46
2017-08-28,unavailable,52
2017-09-04,unavailable,42
2017-09-05,unavailable,13
2017-09-11,unavailable,77
2017-09-16,unavailable,18
2017-09-18,unavailable,29
2017-09-25,unavailable,30.5
2017-10-02,unavailable,37.5
2017-10-09,unavailable,41.25
