prod_name,generic_name,prod_group
apples,apples,fruit
green apples,apples,fruit
armenian cucumbers,cucumbers,cucumbers
artichokes,artichokes,artichokes
arugula,arugula,herbs
asian greens,greens,leafy vegetables
zucchini,summer squash,squash
basil,basil,herbs
green beans,green beans,green beans
beet greens,greens,leafy vegetables
beets,beets,root vegetables
berries,berries,fruit
blue lake beans,green beans,green beans
blueberries,berries,fruit
bok choi,cabbage,leafy vegetables
bok choi,cabbage,leafy vegetables
broccoli,broccoli,broccoli
broccoli greens,greens,leafy vegetables
brownies,brownies,baked goods
bush beans,green beans,green beans
cabbage,cabbage,leafy vegetables
carrots,carrots,root vegetables
cauliflower,cauliflower,cauliflower
celery,celery,celery
chard,chard,chard
cherry tomatoes,tomatoes,tomatoes
chives,chives,herbs
cilantro,cilantro,herbs
collard greens,greens,leafy vegetables
collard greens,greens,leafy vegetables
cucumbers,cucumbers,cucumbers
cucumbers,cucumbers,cucumbers
kale,kale,leafy vegetables
daikon radish,radish,root vegetables
eggplant,eggplant,eggplant
fava beans,green beans,green beans
fennel,fennel,herbs
figs,figs,fruit
flowers,flowers,flowers
fruit,fruit,fruit
garlic,garlic,garlic
grapes,grapes,fruit
green beans,green beans,green beans
green onions,green onions,onions
green peppers,peppers,peppers
greens,greens,leafy vegetables
herbs,herbs,herbs
hubbard squash,squash,squash
kale,kale,leafy vegetables
dwarf siberian kale,kale,leafy vegetables
red russian kale,kale,leafy vegetables
kohlrabi,kohlrabi,root vegetables
lavender,lavender,herbs
leeks,leeks,onions
leeks,leeks,onions
lemon balm,lemon balm,herbs
lettuce,lettuce,leafy vegetables
optima lettuce,lettuce,leafy vegetables
romaine lettuce,lettuce,leafy vegetables
mint,mint,herbs
mizuma lettuce,lettuce,leafy vegetables
mustard greens,greens,leafy vegetables
mustard greens,greens,leafy vegetables
onions,onions,onions
green onions,green onions,onions
onion scapes,green onions,onions
onions,onions,onions
onions,onions,onions
oregano,oregano,herbs
bok choi,cabbage,leafy vegetables
parsley,parsley,herbs
parsnips,parsnips,root vegetables
peaches,peaches,fruit
pears,pears,fruit
anjou pears,pears,fruit
bartlett pears,pears,fruit
peas,peas,peas
peppers,peppers,peppers
plums,plums,fruit
potatoes,potatoes,root vegetables
pumpkins,pumpkins,squash
pumpkins,pumpkins,squash
quince,quince,fruit
radish,radish,root vegetables
radish,radish,root vegetables
rainbow chard,chard,chard
raspberries,berries,fruit
radish,radish,root vegetables
rhubarb,rhubarb,rhubarb
roma tomatoes,tomatoes,tomatoes
romaine lettuce,lettuce,leafy vegetables
rosemary,rosemary,herbs
sage,sage,herbs
scallions,green onions,onions
shallots,shallots,onions
dwarf siberian kale,kale,leafy vegetables
snap peas,peas,peas
snow peas,peas,peas
spaghetti squash,winter squash,squash
spinach,spinach,leafy vegetables
spinach,spinach,leafy vegetables
squash,squash,squash
butternut squash,winter squash,squash
delicata squash,winter squash,squash
strawberries,berries,fruit
summer squash,summer squash,squash
swiss chard,chard,chard
tarragon,tarragon,herbs
tomatillo peppers,peppers,peppers
tomatoes,tomatoes,tomatoes
cherry tomatoes,tomatoes,tomatoes
green tomatoes,tomatoes,tomatoes
roma tomatoes,tomatoes,tomatoes
turnips,turnips,root vegetables
unavailable,unavailable,unavailable
walla walla onions,onions,onions
winter squash,winter squash,squash
yellow squash,summer squash,squash
zucchini,summer squash,squash
